side_in_poke_index,side_in_time,center_in_poke_index,center_in_time,chose_left,chose_right,left_reward_prob,right_reward_prob,was_rewarded,word_l1,word_l1_generic,word_l2,word_l2_generic,word_l3,word_l3_generic,switched,1_Reward,1_Choice,1_Switch,2_Reward,2_Choice,2_Switch,3_Reward,3_Choice,3_Switch,reward_seq_3,choice_seq_3,choice_seq_3_letters,switch_seq_3,Q_left,Q_right,Q_diff,Rolling_Accuracy,Rolling_PRight,Expected_PRight,Signed_Deviation,Choice_Deviation,Rolling_Switch_Rate,Behavioral_State,matched_side_in_index,photometry_side_in_index,photometry_side_out_index,photometry_center_in_index,photometry_center_out_index,photometry_outcome_index,center_in_s,center_out_s,side_in_s,side_out_s,peak_z_center_in,auc_center_in,peak_z_side_in,auc_side_in,peak_z_outcome,auc_outcome,peak_z_side_out,auc_side_out,mouse,date,hemisphere,dob,treatment,viral_expression,age_days
36,38.91299553215504,35,38.51400353014469,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,0,1,0,110,111,RRR,000,0.013949533042137648,0.935876269134615,0.9219267360924773,0.8,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,743,756,760,749,-1,756,40.446,,40.824,41.04,1.8299582938265002,1.0846479440054302,1.972231809486513,1.2168093761226284,1.972231809486513,1.2168093761226284,2.6916188200911013,1.410989924383433,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
38,41.45600125193596,37,41.137998551130295,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.013949533042137648,0.980551683904368,0.9666021508622303,0.8,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,790,812,822,806,-1,812,43.524,,43.848,44.388,3.065705041239206,1.769131507900995,2.5908216012665624,1.1189076794470232,2.5908216012665624,1.1189076794470232,1.5011026439395039,-0.31258894067972204,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
47,48.49799685180187,46,48.09799902141094,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.013949533042137648,0.9941014505261765,0.9801519174840388,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,920,911,920,904,-1,911,48.816,,49.194,49.68,4.5116934822639845,3.126837223355772,3.501863060465246,2.224761169451366,3.501863060465246,2.224761169451366,2.3369367673746515,1.2655151988312412,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
49,51.11399553716183,48,50.77599696815014,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.013949533042137648,0.9982110077950164,0.9842614747528787,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,969,987,990,980,982,987,52.92,53.028,53.298,53.46,1.9310434108686751,0.7148976427615559,2.5765494060954017,0.9771834105518928,2.5765494060954017,0.9771834105518928,2.490533782578469,1.1711723339146964,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
51,53.547003865242004,50,53.276003524661064,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.013949533042137648,0.9994574101440201,0.9855078771018825,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,1014,1027,1060,1020,1022,1027,55.08,55.188,55.458,57.24,-0.6233389598853915,-1.2445133513211584,-0.9932623486344311,-1.8686847582978223,-0.9932623486344311,-1.8686847582978223,-2.3035225045619105,-3.4729123777010815,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
53,56.25300407409668,52,55.92399761080742,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.013949533042137648,0.9998354359784284,0.9858859029362907,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,1064,1074,1114,1068,1069,1074,57.672,57.726,57.996,60.156,-0.9089067207430743,-1.8343423614690997,-0.8456826985181407,-1.9133003134226043,-0.8456826985181407,-1.9133003134226043,0.7917887645408269,-0.5464075573407716,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
55,58.6030013859272,54,58.2709975540638,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.013949533042137648,0.9999500887882489,0.9860005557461112,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,1107,1125,1159,1119,1121,1125,60.426,60.534,60.75,62.586,1.8311750218520726,0.12891753765918368,4.10915651686545,0.7566208123566267,4.10915651686545,0.7566208123566267,0.011537599327163348,-0.8059855504934942,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
57,61.226000636816025,56,60.905996337533,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.013949533042137648,0.9999848622497514,0.9860353292076137,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,1156,1170,1203,1165,1165,1170,62.91,62.91,63.18,64.962,0.21716115542370912,-0.4925094212371592,0.6348956337513455,-0.5360943623016949,0.6348956337513455,-0.5360943623016949,1.1453092375581464,0.3414156527616005,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
59,63.86899575591087,58,63.530997186899185,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.013949533042137648,0.999995408817487,0.9860458757753494,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,1205,1214,1249,1208,1209,1214,65.232,65.286,65.556,67.446,1.5129469679847405,0.4843356641849061,1.5953533507139197,0.10219968247529213,1.5953533507139197,0.10219968247529213,1.941598362769292,1.080584133490688,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
62,68.58300156891346,61,68.15399564802647,True,False,0.1,0.9,False,l,a,Rl,Ab,RRl,AAb,1,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.013949533042137648,0.999998607523805,0.9860490744816673,0.8,0.8,0.9,-0.09999999999999998,0.09999999999999998,0.2,Exploration,1292,1322,1350,1314,1316,1322,70.956,71.064,71.388,72.9,7.334197562757415,2.5833909180710597,5.95203145696823,3.4901219637365584,5.95203145696823,3.4901219637365584,1.4376276157383583,0.38427712488628085,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
65,72.15400412678719,64,71.6819990426302,True,False,0.1,0.9,False,l,a,ll,aa,Rll,Abb,0,0,0,1,1,1,0,1,1,0,011,011,LRR,100,0.004230803858862885,0.999998607523805,0.9957678036649421,0.6,0.6,0.9,-0.30000000000000004,0.30000000000000004,0.2,Exploration,1358,1361,1395,1352,1357,1361,73.008,73.278,73.494,75.33,1.9819796230999713,0.3376668709395947,3.0016696709285577,0.4639932096959318,3.0016696709285577,0.4639932096959318,3.7534122109797394,1.253596888695173,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
77,81.22100383043289,76,80.78999631106853,False,True,0.1,0.9,True,R,A,lR,aB,llR,aaB,1,0,0,0,0,0,1,1,1,0,001,001,LLR,010,0.0012831756617299717,0.999998607523805,0.998715431862075,0.6,0.6,0.9,-0.30000000000000004,0.30000000000000004,0.4,Exploration,1526,1650,1654,1641,1644,1650,88.614,88.776,89.1,89.316,13.202352200127036,10.35120494874299,3.7459625136680095,2.0333715941582273,3.7459625136680095,2.0333715941582273,2.390464915125831,0.748232201832764,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
79,83.70800502598286,78,83.37800279259682,False,True,0.1,0.9,True,R,A,RR,AA,lRR,aBB,0,1,1,1,0,0,0,0,0,1,100,100,RLL,101,0.0012831756617299717,0.9999995776709054,0.9987164020091754,0.6,0.6,0.9,-0.30000000000000004,0.30000000000000004,0.4,Exploration,1572,1650,1654,1641,1644,1650,88.614,88.776,89.1,89.316,13.202352200127036,10.35120494874299,3.7459625136680095,2.0333715941582273,3.7459625136680095,2.0333715941582273,2.390464915125831,0.748232201832764,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
81,86.4849966019392,80,86.1690055578947,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,1,0,0,0,110,110,RRL,010,0.0012831756617299717,0.9999998719102957,0.9987166962485657,0.6,0.6,0.9,-0.30000000000000004,0.30000000000000004,0.4,Exploration,1624,1650,1654,1641,1644,1650,88.614,88.776,89.1,89.316,13.202352200127036,10.35120494874299,3.7459625136680095,2.0333715941582273,3.7459625136680095,2.0333715941582273,2.390464915125831,0.748232201832764,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
83,88.906005397439,82,88.61200176179409,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,1,111,111,RRR,001,0.0012831756617299717,0.9999999611512146,0.9987167854894846,0.8,0.8,0.9,-0.09999999999999998,0.09999999999999998,0.2,Exploration,1668,1650,1654,1645,-1,1650,88.83,,89.1,89.316,7.807301593520422,5.5751463398439185,3.7459625136680095,2.0333715941582273,3.7459625136680095,2.0333715941582273,2.390464915125831,0.748232201832764,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
85,91.28799811005592,84,90.95600433647633,False,True,0.9,0.09999999999999998,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.0012831756617299717,0.9999999882174126,0.9987168125556827,1.0,1.0,0.09999999999999998,0.9,0.9,0.2,Right Bias,1713,1650,1654,1641,1644,1650,88.614,88.776,89.1,89.316,13.202352200127036,10.35120494874299,3.7459625136680095,2.0333715941582273,3.7459625136680095,2.0333715941582273,2.390464915125831,0.748232201832764,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
87,93.87499876320362,86,93.56899559497833,False,True,0.9,0.09999999999999998,False,r,a,Rr,Aa,RRr,AAa,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.0012831756617299717,0.9999999964264169,0.9987168207646869,0.8,1.0,0.09999999999999998,0.9,0.9,0.0,Right Bias,1760,1856,1862,1849,1851,1856,99.846,99.954,100.224,100.548,5.949202273139237,3.9418069488358776,5.19892048748924,2.5906393892008217,5.19892048748924,2.5906393892008217,2.3582974296084145,0.35985934112640805,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
89,95.41000351309776,88,95.03999948501587,False,True,0.9,0.09999999999999998,False,r,a,rr,aa,Rrr,Aaa,0,0,1,0,1,1,0,1,1,0,011,111,RRR,000,0.0012831756617299717,0.3032935820119339,0.30201040635020393,0.6,1.0,0.09999999999999998,0.9,0.9,0.0,Right Bias,1789,1856,1862,1849,1851,1856,99.846,99.954,100.224,100.548,5.949202273139237,3.9418069488358776,5.19892048748924,2.5906393892008217,5.19892048748924,2.5906393892008217,2.3582974296084145,0.35985934112640805,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
91,97.13299758732319,90,96.65699936449528,True,False,0.9,0.09999999999999998,True,L,A,rL,aB,rrL,aaB,1,0,1,0,0,1,0,1,1,0,001,111,RRR,000,0.0012831756617299717,0.09198699721835285,0.09070382155662288,0.6,0.8,0.09999999999999998,0.7000000000000001,0.7000000000000001,0.2,Right Bias,1821,1826,1834,1817,1820,1826,98.118,98.28,98.604,99.036,2.5903558294885687,1.1890173225986576,1.7768228924352991,0.5547287850306724,1.7768228924352991,0.5547287850306724,3.6591670807711267,0.5156310831415752,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
93,99.23100471496582,92,98.97799864411354,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,rLL,aBB,0,1,0,1,0,1,0,0,1,0,100,011,LRR,100,0.6970955958484086,0.09198699721835285,-0.6051085986300557,0.6,0.6,0.09999999999999998,0.5,0.5,0.2,Right Bias,1860,1826,1834,1821,-1,1826,98.334,,98.604,99.036,2.637711101419613,1.2331262078275902,1.7768228924352991,0.5547287850306724,1.7768228924352991,0.5547287850306724,3.6591670807711267,0.5156310831415752,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
95,101.7439965158701,94,101.4550019055605,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,1,0,1,0,110,001,LLR,010,0.908131037929372,0.09198699721835285,-0.8161440407110192,0.6,0.4,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.2,Exploration,1906,1895,1900,1888,1888,1895,101.952,101.952,102.33,102.6,-0.7526883693432143,-1.9326435363081043,-1.4309088333888682,-2.0685224604891195,-1.4309088333888682,-2.0685224604891195,-1.0650540105354125,-1.9780653062804805,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
97,103.67800332605839,96,103.40700298547745,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,1,111,000,LLL,001,0.9721367333183091,0.09198699721835285,-0.8801497360999562,0.8,0.2,0.09999999999999998,0.10000000000000003,0.10000000000000003,0.2,Exploration,1942,1960,1969,1955,-1,1960,105.57,,105.84,106.326,1.051684657287243,-0.22601103425130975,0.552208493304098,-0.6809760216748639,0.552208493304098,-0.6809760216748639,1.0341383050702493,-1.2412618261306423,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
99,105.65499924123287,98,105.32499700784683,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9915492500113567,0.09198699721835285,-0.8995622527930038,1.0,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.2,Exploration,1979,1960,1969,1954,1954,1960,105.516,105.516,105.84,106.326,1.0172051054393414,-0.13611373993332576,0.552208493304098,-0.6809760216748639,0.552208493304098,-0.6809760216748639,1.0341383050702493,-1.2412618261306423,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
101,107.62399882078171,100,107.33100101351738,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9974369417560978,0.09198699721835285,-0.9054499445377449,1.0,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,Exploitation,2015,1960,1969,1955,-1,1960,105.57,,105.84,106.326,1.051684657287243,-0.22601103425130975,0.552208493304098,-0.6809760216748639,0.552208493304098,-0.6809760216748639,1.0341383050702493,-1.2412618261306423,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
103,109.67199616134167,102,109.3219980597496,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9992226408815237,0.09198699721835285,-0.9072356436631708,1.0,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,Exploitation,2053,2085,2090,2079,-1,2085,112.266,,112.59,112.86,7.763508424600645,5.673721921584093,6.813034249556955,4.446146714916372,6.813034249556955,4.446146714916372,5.008672453525379,3.172589156337136,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
105,111.52599938213825,104,111.1810002475977,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9997642319676051,0.09198699721835285,-0.9077772347492523,1.0,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,Exploitation,2087,2085,2090,2079,-1,2085,112.266,,112.59,112.86,7.763508424600645,5.673721921584093,6.813034249556955,4.446146714916372,6.813034249556955,4.446146714916372,5.008672453525379,3.172589156337136,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
114,120.01499980688095,113,119.66799907386303,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999284930686755,0.09198699721835285,-0.9079414958503227,1.0,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,Exploitation,2244,2234,2254,2227,2229,2234,120.258,120.366,120.636,121.716,-0.6476142500755873,-1.6946749436399933,-0.4957736481446931,-2.8895414822553542,-0.4957736481446931,-2.8895414822553542,-1.661081818268815,-2.3906845647050528,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
116,121.79800160229206,115,121.53100445866585,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999783124065824,0.09198699721835285,-0.9079913151882295,1.0,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,Exploitation,2278,2267,2289,2260,2261,2267,122.03999999999999,122.094,122.41799999999999,123.606,-0.9136481657933948,-1.8765001357345528,-1.086697241107272,-1.9020693742254988,-1.086697241107272,-1.9020693742254988,-0.01290968781200671,-1.0202312753996028,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
122,125.9680051356554,121,125.5880031734705,False,True,0.9,0.09999999999999998,False,r,a,Lr,Ab,LLr,AAb,1,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999934222920837,0.09198699721835285,-0.9080064250737307,0.8,0.2,0.09999999999999998,0.10000000000000003,0.10000000000000003,0.2,Exploration,2355,2174,2177,2167,-1,2174,117.018,,117.396,117.55799999999999,1.5658968414530838,1.1347547317066473,0.9828405036707424,0.42275863728488544,0.9828405036707424,0.42275863728488544,0.681758788249127,0.13158416471472087,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
140,146.36400192975998,139,145.99100053310394,True,False,0.9,0.09999999999999998,True,L,A,rL,aB,LrL,AbA,1,0,1,1,1,0,0,1,0,0,011,100,RLL,100,0.9999934222920837,0.027899065984575658,-0.972094356307508,0.8,0.2,0.09999999999999998,0.10000000000000003,0.10000000000000003,0.4,Exploration,2732,2680,2689,2673,-1,2680,144.34199999999998,,144.72,145.206,1.721686100949399,-0.7222649577130088,1.3650533929292383,-0.9972880134905031,1.3650533929292383,-0.9972880134905031,1.7224416613146811,0.3156524197175928,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
142,148.1359999626875,141,147.75700382888317,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,rLL,aBB,0,1,0,1,0,1,1,1,0,0,101,010,LRL,110,0.9999980050233975,0.027899065984575658,-0.9720989390388218,0.8,0.2,0.09999999999999998,0.10000000000000003,0.10000000000000003,0.4,Exploration,2765,2680,2689,2673,-1,2680,144.34199999999998,,144.72,145.206,1.721686100949399,-0.7222649577130088,1.3650533929292383,-0.9972880134905031,1.3650533929292383,-0.9972880134905031,1.7224416613146811,0.3156524197175928,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
144,150.01900121569633,143,149.6520046144724,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,1,0,1,1,110,001,LLR,011,0.999999394936398,0.027899065984575658,-0.9721003289518223,0.8,0.2,0.09999999999999998,0.10000000000000003,0.10000000000000003,0.4,Exploration,2800,2680,2689,2673,-1,2680,144.34199999999998,,144.72,145.206,1.721686100949399,-0.7222649577130088,1.3650533929292383,-0.9972880134905031,1.3650533929292383,-0.9972880134905031,1.7224416613146811,0.3156524197175928,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
146,151.73899792134762,145,151.47900134325027,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,1,111,000,LLL,001,0.9999998164880921,0.027899065984575658,-0.9721007505035164,0.8,0.2,0.09999999999999998,0.10000000000000003,0.10000000000000003,0.4,Exploration,2832,2680,2689,2675,-1,2680,144.45,,144.72,145.206,1.0421988878678645,-0.9059184135594704,1.3650533929292383,-0.9972880134905031,1.3650533929292383,-0.9972880134905031,1.7224416613146811,0.3156524197175928,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
148,153.72899919748306,147,153.39199639856815,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999999443420159,0.027899065984575658,-0.9721008783574402,1.0,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.2,Exploration,2869,3000,3022,2994,-1,3000,161.676,,162.0,163.188,3.0300806783440084,1.7012040975205491,3.0551518527193764,1.296888343647355,3.0551518527193764,1.296888343647355,-1.2927344003399825,-2.0937792594907205,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
150,155.81199936568737,149,155.4780039936304,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999999831192906,0.027899065984575658,-0.9721009171347149,1.0,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,Exploitation,2907,3000,3022,2994,-1,3000,161.676,,162.0,163.188,3.0300806783440084,1.7012040975205491,3.0551518527193764,1.296888343647355,3.0551518527193764,1.296888343647355,-1.2927344003399825,-2.0937792594907205,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
